更新时间,#genre#
2024-12-31 19:12:03,url
📺央视频道,#genre#
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000029752/1.m3u8?channel-id=wasusyt&Contentid=6000000001000029752&livemode=1&stbId=3$订阅源
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://123.129.70.178:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://123.166.61.70:8003/hls/11/index.m3u8$订阅源
CCTV-1,http://202.100.46.58:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265002/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no$订阅源
CCTV-1,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://122.9.151.210:887/rtp/238.255.2.91:5999$组播源
CCTV-1,http://122.9.151.210:1011/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://139.196.151.191:8091/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://123.56.129.203:5431/rtp/225.1.8.1:8008$组播源
CCTV-1,http://123.56.129.203:5431/rtp/225.1.8.101:8080$组播源
CCTV-1,http://122.9.151.210:8088/rtp/238.255.2.91:5999$组播源
CCTV-1,http://139.196.151.191:9452/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://123.56.129.203:7533/rtp/225.1.8.1:8008$北京电信组播源
CCTV-1,http://123.56.129.203:7533/rtp/225.1.8.101:8080$北京电信组播源
CCTV-1,http://120.55.49.231:5893/rtp/233.50.201.222:5140$浙江电信组播源
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV-2,http://123.129.70.178:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
CCTV-2,http://123.166.61.70:8003/hls/12/index.m3u8$订阅源
CCTV-2,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/1.m3u8?channelid=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3$订阅源
CCTV-2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://gslbserv.itv.cmvideo.cn/1000000005000265002/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265002&livemode=1&stbId=3$订阅源
CCTV-2,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://122.9.151.210:887/rtp/238.255.2.11:5999$组播源
CCTV-2,http://122.9.151.210:1011/rtp/238.255.2.11:5999$贵州电信组播源
CCTV-2,http://139.196.151.191:8091/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://123.56.129.203:5431/rtp/225.1.8.2:8084$组播源
CCTV-2,http://123.56.129.203:5431/rtp/225.1.8.102:8004$组播源
CCTV-2,http://122.9.151.210:8088/rtp/238.255.2.11:5999$组播源
CCTV-2,http://139.196.151.191:9452/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://123.56.129.203:7533/rtp/225.1.8.2:8084$北京电信组播源
CCTV-2,http://123.56.129.203:7533/rtp/225.1.8.102:8004$北京电信组播源
CCTV-2,http://120.55.49.231:5893/rtp/233.50.201.119:5140$浙江电信组播源
CCTV-3,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265003/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=no$订阅源
CCTV-3,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265003/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=no$订阅源
CCTV-3,http://202.100.46.58:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源
CCTV-3,http://gslbserv.itv.cmvideo.cn/1000000005000265003/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=3$订阅源
CCTV-3,http://123.129.70.178:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000022313/1.m3u8?channel-id=wasusyt&Contentid=6000000001000022313&livemode=1&stbId=3$订阅源
CCTV-3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://122.9.151.210:887/rtp/238.255.2.133:5999$组播源
CCTV-3,http://122.9.151.210:1011/rtp/238.255.2.133:5999$贵州电信组播源
CCTV-3,http://139.196.151.191:8091/rtp/239.45.1.68:5140$上海电信组播源
CCTV-3,http://123.56.129.203:5431/rtp/225.1.8.92:8000$组播源
CCTV-3,http://123.56.129.203:5431/rtp/225.1.8.88:8000$组播源
CCTV-3,http://122.9.151.210:8088/rtp/238.255.2.133:5999$组播源
CCTV-3,http://139.196.151.191:9452/rtp/239.45.1.68:5140$上海电信组播源
CCTV-3,http://123.56.129.203:7533/rtp/225.1.8.88:8000$北京电信组播源
CCTV-3,http://123.56.129.203:7533/rtp/225.1.8.92:8000$北京电信组播源
CCTV-3,http://120.55.49.231:5893/rtp/233.50.201.196:5140$浙江电信组播源
CCTV-4,http://110.80.17.38:9901/tsfile/live/0004_1.m3u8?key=txiptv$订阅源
CCTV-4,http://202.100.46.58:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://gslbserv.itv.cmvideo.cn/1000000005000265004/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源
CCTV-4,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no$订阅源
CCTV-4,http://123.166.61.70:8003/hls/41/index.m3u8$订阅源
CCTV-4,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no$订阅源
CCTV-4,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=3$订阅源
CCTV-4,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031102/1.m3u8?channel-id=bestzb&Contentid=5000000011000031102&livemode=1&stbId=3$订阅源
CCTV-4,http://112.123.206.32:808/hls/4/index.m3u8$订阅源
CCTV-4,http://123.129.70.178:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://122.9.151.210:887/rtp/238.255.2.213:5999$组播源
CCTV-4,http://122.9.151.210:887/rtp/238.255.2.92:5999$组播源
CCTV-4,http://122.9.151.210:1011/rtp/238.255.2.92:5999$贵州电信组播源
CCTV-4,http://122.9.151.210:1011/rtp/238.255.2.213:5999$贵州电信组播源
CCTV-4,http://139.196.151.191:8091/rtp/239.45.0.2:5140$上海电信组播源
CCTV-4,http://123.56.129.203:5431/rtp/225.1.8.104:8216$组播源
CCTV-4,http://123.56.129.203:5431/rtp/225.1.8.4:8092$组播源
CCTV-4,http://122.9.151.210:8088/rtp/238.255.2.92:5999$组播源
CCTV-4,http://122.9.151.210:8088/rtp/238.255.2.213:5999$组播源
CCTV-4,http://139.196.151.191:9452/rtp/239.45.0.2:5140$上海电信组播源
CCTV-5,http://61.136.172.236:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$订阅源
CCTV-5,http://218.89.240.144:59901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://gslbserv.itv.cmvideo.cn/1000000005000265005/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$订阅源
CCTV-5,http://123.129.70.178:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000003000030177/1.m3u8?channel-id=ystenlive&Contentid=1000000003000030177&livemode=1&stbId=3$订阅源
CCTV-5,http://111.14.181.15:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no$订阅源
CCTV-5,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no$订阅源
CCTV-5,http://122.9.151.210:887/rtp/238.255.2.134:5999$组播源
CCTV-5,http://122.9.151.210:1011/rtp/238.255.2.134:5999$贵州电信组播源
CCTV-5,http://139.196.151.191:8091/rtp/239.45.1.69:5140$上海电信组播源
CCTV-5,http://123.56.129.203:8357/rtp/225.1.8.93:8000$组播源
CCTV-5,http://123.56.129.203:5431/rtp/225.1.8.93:8000$组播源
CCTV-5,http://123.56.129.203:5431/rtp/225.1.8.89:8000$组播源
CCTV-5,http://122.9.151.210:8088/rtp/238.255.2.134:5999$组播源
CCTV-5,http://123.56.129.203:8357/rtp/225.1.8.89:8000$组播源
CCTV-5,http://139.196.151.191:3839/rtp/239.45.1.69:5140$组播源
CCTV-5,http://139.196.151.191:2051/rtp/239.45.1.69:5140$组播源
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265016/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=no$订阅源
CCTV-5+,http://117.27.190.42:9998/tsfile/live/23248_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
